provinsi,kabupaten_kota,kecamatan,kelurahan_desa,kode_pos
,karawang,rawamerta,mekarjaya,41382
,karawang,rawamerta,panyingkiran,41382
,karawang,rawamerta,pasirawi,41382
,karawang,rawamerta,pasirkaliki,41382
,karawang,rawamerta,purwamekar,41382
,karawang,rawamerta,sekarwangi,41382
,karawang,rawamerta,sukamerta,41382
,karawang,rawamerta,sukapura,41382
,karawang,rawamerta,sukaraja,41382
,karawang,rengasdengklok,amansari,41352
,karawang,rengasdengklok,dewisari,41352
,karawang,rengasdengklok,dukuhkarya,41352
,karawang,rengasdengklok,kalangsari,41352
,karawang,rengasdengklok,kalangsuria,41352
,karawang,rengasdengklok,karyasari,41352
,karawang,rengasdengklok,kertasari,41352
,karawang,rengasdengklok,rengasdengklok selatan,41352
,karawang,rengasdengklok,rengasdengklok utara,41352
,karawang,talagasari,cadaskertajaya,41381
,karawang,talagasari,cariumulya,41381
,karawang,talagasari,cilewo,41381
,karawang,talagasari,ciwulan,41381
,karawang,talagasari,kalibuaya,41381
,karawang,talagasari,kalijaya,41381
,karawang,talagasari,kalisari,41381
,karawang,talagasari,linggarsari,41381
,karawang,talagasari,pasirkamuning,41381
,karawang,talagasari,pasirmukti,41381
,karawang,talagasari,pasirtalaga,41381
,karawang,talagasari,pulosari,41381
,karawang,talagasari,talagamulya,41381
,karawang,talagasari,talagasari,41381
,karawang,tegalwaru,cigunungsari,41362
,karawang,tegalwaru,cintalaksana,41362
,karawang,tegalwaru,cintalanggeng,41362
,karawang,tegalwaru,cintawargi,41362
,karawang,tegalwaru,cipurwasari,41362
,karawang,tegalwaru,kutalanggeng,41362
,karawang,tegalwaru,kutamaneuh,41362
,karawang,tegalwaru,mekarbuana,41362
,karawang,tegalwaru,wargasetra,41362
,karawang,telukjambe barat,karangligar,41361
,karawang,telukjambe barat,karangmulya,41361
,karawang,telukjambe barat,margakaya,41361
,karawang,telukjambe barat,margamulya,41361
,karawang,telukjambe barat,mekarmulya,41361
,karawang,telukjambe barat,mulyajaya,41361
,karawang,telukjambe barat,parungsari,41361
,karawang,telukjambe barat,wanajaya,41361
,karawang,telukjambe barat,wanakerta,41361
,karawang,telukjambe barat,wanasari,41361
,karawang,telukjambe timur,pinayungan,41361
,karawang,telukjambe timur,purwadana,41361
,karawang,telukjambe timur,puseurjaya,41361
,karawang,telukjambe timur,sirnabaya,41361
,karawang,telukjambe timur,sukaharja,41361
,karawang,telukjambe timur,sukaluyu,41361
,karawang,telukjambe timur,sukamakmur,41361
,karawang,telukjambe timur,telukjambe,41361
,karawang,telukjambe timur,wadas,41361
,karawang,tempuran,cikuntul,41385
,karawang,tempuran,ciparagejaya,41385
,karawang,tempuran,dayeuhluhur,41385
,karawang,tempuran,jayanagara,41385
,karawang,tempuran,lemahduhur,41385
,karawang,tempuran,lemahkarya,41385
,karawang,tempuran,lemahmakmur,41385
,karawang,tempuran,lemahsubur,41385
,karawang,tempuran,pagadungan,41385
,karawang,tempuran,pancakarya,41385
,karawang,tempuran,purwajaya,41385
,karawang,tempuran,sumberjaya,41385
,karawang,tempuran,tanjungjaya,41385
,karawang,tempuran,tempuran,41385
,karawang,tirtajaya,bolang,41357
,karawang,tirtajaya,gempolkarya,41357
,karawang,tirtajaya,kutamakmur,41357
,karawang,tirtajaya,medankarya,41357
,karawang,tirtajaya,pisangsambo,41357
,karawang,tirtajaya,sabajaya,41357
,karawang,tirtajaya,srijaya,41357
,karawang,tirtajaya,srikamulyan,41357
,karawang,tirtajaya,sumurlaban,41357
,karawang,tirtajaya,tambaksari,41357
,karawang,tirtajaya,tambaksumur,41357
,karawang,tirtamulya,bojongsari,41372
,karawang,tirtamulya,cipondoh,41372
,karawang,tirtamulya,citarik,41372
,karawang,tirtamulya,kamurang,41372
,karawang,tirtamulya,karangjaya,41372
,karawang,tirtamulya,karangsinom,41372
,karawang,tirtamulya,kertawaluya,41372
,karawang,tirtamulya,parakan,41372
,karawang,tirtamulya,parakanmulya,41372
,karawang,tirtamulya,tirtasari,41372
,karimun,belat,degong,29662
,karimun,belat,lebuh,29662
,karimun,belat,penarah,29662
,karimun,belat,sebele,29662
,karimun,belat,sei / sungai asam,29662
,karimun,belat,tebias,29662
,karimun,buru,buru,29664
,karimun,buru,lubuk puding,29664
,karimun,buru,tanjung batu kecil,29664
,karimun,buru,tanjung hutan,29664
,karimun,durai,durai,29664
,karimun,durai,sanglar,29664
,karimun,durai,simembang (semembang),29664
,karimun,durai,tanjung kilang,29664
,karimun,karimun,lubuk semut,29661
,karimun,karimun,parit,29661
,karimun,karimun,selat mendaun,29661
,karimun,karimun,sungai lakam barat,29661
,karimun,karimun,sungai lakam timur,29661
,karimun,karimun,tanjung balai,29661
,karimun,karimun,tanjung balai kota,29661
,karimun,karimun,teluk air,29661
,karimun,karimun,tulang,29661
,karimun,kundur,gading sari,29662
,karimun,kundur,lubuk,29662
,karimun,kundur,sebesi (sei sebesi),29662
,karimun,kundur,sei / sungai ungar,29662
,karimun,kundur,tanjung batu barat,29662
,karimun,kundur,tanjung batu kota,29662
,karimun,kundur barat,gemuruh,29662
,karimun,kundur barat,kundur,29662
,karimun,kundur barat,sawang,29662
,karimun,kundur barat,sawang laut,29662
,karimun,kundur barat,sawang selatan,29662
,karimun,kundur utara,perayun,29662
,karimun,kundur utara,sei / sungai ungar utara,29662
,karimun,kundur utara,tanjung berlian barat (urung barat),29662
,karimun,kundur utara,tanjung berlian kota (urung),29662
,karimun,kundur utara,teluk radang,29662
,karimun,meral,baran barat,29664
,karimun,meral,baran timur,29664
,karimun,meral,meral kota,29664
,karimun,meral,pasir benut,29664
,karimun,meral,sei / sungai raya,29664
,karimun,meral,sungai pasir,29664
,karimun,meral barat,darussalam,29664
,karimun,meral barat,pangke,29664
,karimun,meral barat,pangke barat,29664
,karimun,meral barat,pasir panjang,29664
,karimun,moro,buluh patah,29663
,karimun,moro,jang (pulau jang),29663
,karimun,moro,keban,29663
,karimun,moro,moro,29663
,karimun,moro,moro timur,29663
,karimun,moro,niur permai,29663
,karimun,moro,pauh,29663
,karimun,moro,pulaumoro,29663
,karimun,moro,rawajaya,29663
,karimun,moro,selat mie,29663
,karimun,moro,sugie,29663
,karimun,moro,tanjung pelanduk,29663
,karimun,tebing,harjosari,29663
,karimun,tebing,kapling,29663
,karimun,tebing,pamak,29663
,karimun,tebing,pongkar,29663
,karimun,tebing,tebing,29663
,karimun,tebing,teluk uma,29663
,karimun,ungar,alai,29662
,karimun,ungar,batu limau,29662
,karimun,ungar,ngal,29662
,karimun,ungar,sungai buluh,29662
,karo,barus jahe,barus jahe,22172
,karo,barus jahe,barus julu,22172
,karo,barus jahe,bulan jahe,22172
,karo,barus jahe,bulan julu,22172
,karo,barus jahe,paribun,22172
,karo,barus jahe,penampen,22172
,karo,barus jahe,persadanta,22172
,karo,barus jahe,pertumbuken,22172
,karo,barus jahe,rumamis,22172
,karo,barus jahe,sarimanis,22172
,karo,barus jahe,semangat,22172
,karo,barus jahe,serdang,22172
,karo,barus jahe,sikab,22172
,karo,barus jahe,sinaman,22172
,karo,barus jahe,sukajulu,22172
,karo,barus jahe,sukanalu,22172
,karo,barus jahe,talimbaru,22172
,karo,barus jahe,tangkidik,22172
,karo,barus jahe,tanjung barus,22172
,karo,brastagi (berastagi),doulu (daulu),22152
,karo,brastagi (berastagi),gundaling i,22152
,karo,brastagi (berastagi),gundaling ii,22152
,karo,brastagi (berastagi),gurusinga,22152
,karo,brastagi (berastagi),lau gumba,22152
,karo,brastagi (berastagi),raya,22152
,karo,brastagi (berastagi),rumah brastagi / berastagi,22152
,karo,brastagi (berastagi),sempajaya,22152
